descriptionIlabel;;;;;;;;;;;;
Дизайнеры агентства Fabula Branding (Минск) провели комплексную разработку торговой марки колбасных изделий «100 друзей» (нейминг, логотип, дизайн упаковки) для ОАО «Гродненский мясокомбинат». Продукт – колбасные изделия среднего ценового сегмента: сырокопченые, сыровяленые, вареные колбасы, сосиски и сардельки. Регионы продаж – Беларусь и Россия. Ситуации потребления: дружеские и семейные застолья, пикник, гости, быстрый перекус. Целевая аудитория – мужчины и женщины 25-40 лет. Решением стал теплый и яркий желтый цвет, который хорошо отстраивает продукт на полке, служит цветовым идентификатором торговой марки и вызывает приятные ассоциации с пикником / дружескими посиделками на даче. Дружелюбную и приветливую стилистику дизайна поддерживает цифра «100», образованная колбасками (маркер категории), а также рукописный шрифт логотипа.I1;;;;;;;;;;;;
"В течение 30 дней, с даты публикации сообщения в ""Урядовом курьере"",  министерство будет проводить регистрацию заинтересованных в  расследовании лиц и рассматривает требования относительно проведения  слушаний. В течение 60 дней, МЭРТ рассматривает письменно изложенные  комментарии и информацию относительно возбуждения расследования.I2";;;;;;;;;;;;
"Глава государства назвал совершенно не имеющей под собой оснований ""идейкой"" расхожее мнение о том, что те, кто покупает российский газ, попадают в зависимость от Москвы. ""Это глупый абсолютно, никчемный аргумент, потому что это взаимозависимость"", - подчеркнул президент России.I2";;;;;;;;;;;;
"Интерфакс-Россия, Новость: Авиакомпания ""Аврора"" с 18 января 2017 года приступает к выполнению регулярных полётов по маршруту ""Хабаровск - Тында - Хабаровск""I3";;;;;;;;;;;;
Отечественный концерн по производству автомобилей отчитался о росте продаж в январе. Показатель увеличился на 4,6%, до 16,3 тысяч единиц. По прогнозам компании, Lada Vesta может выйти на третье место по объему продаж в России.I4;;;;;;;;;;;;
"""АвтоВАЗ"" начал продажи автомобилей Lada Vesta в Германии. Церемония начала продаж проходит в Гамбурге. В 2016 г. в Германии продано 2,3 тыс. автомобилей Lada, эта страна стала второй по объему экспортных продаж для ""АвтоВАЗа"".I3";;;;;;;;;;;;
"Совет директоров ""АвтоВАЗа"" принял стратегические решения, направленные на развитие компании в предстоящие годы. Автопроизводитель одобрил среднесрочный план развития и бюджет на 2017 г., установил цену акций по открытой подписке.I4";;;;;;;;;;;;
"""АвтоВАЗ"" завершил размещение дополнительных акций, продажа проходила с 19 декабря по 26 декабря. Всего размещено 2 904 524 987 акций, что составляет 88,52% от объема допэмиссии.I3";;;;;;;;;;;;
"""АвтоВАЗ"" в январе увеличил продажи на 4,6% в годовом выражении до 16,3 тыс. автомобилей, сообщает компания. Доля Lada на российском рынке составила в прошлом месяце почти 19,5%, против 19,9% в 2016 г.I4";;;;;;;;;;;;
"""АвтоВАЗ"" сократит 740 человек (2% сотрудников). Попадающим под сокращение работникам предложены вакансии во всех подразделениях ""АвтоВАЗа"", в том числе в Индустриальном парке.I5";;;;;;;;;;;;
